service_id,date,exception_type
501,20260622,1
6701,20260622,1
4401,20260622,1
501,20260623,1
6701,20260623,1
4501,20260623,1
7001,20260623,1
501,20260624,1
6701,20260624,1
4401,20260624,1
7001,20260624,1
501,20260625,1
6701,20260625,1
4401,20260625,1
7001,20260625,1
501,20260626,1
6701,20260626,1
4501,20260626,1
501,20260629,1
6701,20260629,1
4401,20260629,1
501,20260630,1
6701,20260630,1
4501,20260630,1
7001,20260630,1
4,20260701,1
1,20260701,2
501,20260702,1
6701,20260702,1
4401,20260702,1
7001,20260702,1
501,20260703,1
6701,20260703,1
4501,20260703,1
501,20260706,1
6701,20260706,1
4401,20260706,1
501,20260707,1
6701,20260707,1
4501,20260707,1
7001,20260707,1
501,20260708,1
6701,20260708,1
4401,20260708,1
7001,20260708,1
501,20260709,1
6701,20260709,1
4401,20260709,1
7001,20260709,1
501,20260710,1
6701,20260710,1
4501,20260710,1
501,20260713,1
6701,20260713,1
4401,20260713,1
501,20260714,1
6701,20260714,1
4501,20260714,1
7001,20260714,1
501,20260715,1
6701,20260715,1
4401,20260715,1
7001,20260715,1
501,20260716,1
6701,20260716,1
4401,20260716,1
7001,20260716,1
501,20260717,1
6701,20260717,1
4501,20260717,1
501,20260720,1
6701,20260720,1
4401,20260720,1
501,20260721,1
6701,20260721,1
4501,20260721,1
7001,20260721,1
501,20260722,1
6701,20260722,1
4401,20260722,1
7001,20260722,1
501,20260723,1
6701,20260723,1
4401,20260723,1
7001,20260723,1
501,20260724,1
6701,20260724,1
4501,20260724,1
