_id,Date,Line,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Vehicle
1,2025-12-07,FW,07:29,Sunday,FINCH WEST FWLRT STATI,TXDOE,0,0,W,6509
2,2025-12-07,FW,09:17,Sunday,MILVAN RUMIKE STOP,EXTM,7,17,W,6501
3,2025-12-07,FW,09:25,Sunday,MILVAN RUMIKE STOP,EXBK,5,15,E,6512
4,2025-12-07,FW,09:34,Sunday,HUMBER COLLEGE STOP,EXBO,4,14,E,6502
5,2025-12-07,FW,09:55,Sunday,HUMBER COLLEGE STOP,MXTO,5,15,,6508
6,2025-12-07,FW,10:05,Sunday,TOBERMORY STOP,EXBK,4,14,E,6514
7,2025-12-07,FW,10:10,Sunday,FINCH WEST FWLRT STATI,EXO,15,25,E,6502
8,2025-12-07,FW,10:48,Sunday,ROWNTREE MILLS STOP,EXBK,5,15,W,6517
9,2025-12-07,FW,11:05,Sunday,EMERY STOP,TXO,10,20,E,6509
10,2025-12-07,FW,12:36,Sunday,NORFINCH OAKDALE STOP,TXDOE,10,20,E,6502
11,2025-12-07,FW,13:57,Sunday,EMERY STOP,TXOS,5,15,W,6507
12,2025-12-07,FW,14:54,Sunday,EMERY STOP,TXOS,3,13,W,6501
13,2025-12-07,FW,15:30,Sunday,HUMBER COLLEGE STOP,MXO,0,0,,0
14,2025-12-07,FW,16:16,Sunday,SIGNET ARROW STOP,EXO,3,10,W,6512
15,2025-12-07,FW,16:34,Sunday,SENTINEL STOP,TXOS,3,13,W,6508
16,2025-12-07,FW,18:26,Sunday,PEARLDALE STOP,EXO,13,23,W,6514
17,2025-12-07,FW,18:46,Sunday,FINCH WEST FWLRT STATI,MXIS,0,0,,0
18,2025-12-07,FW,20:56,Sunday,MARTIN GROVE STOP,MXUS,12,24,E,6512
19,2025-12-07,FW,21:12,Sunday,HUMBER COLLEGE STOP,MXTO,7,19,W,6506
20,2025-12-07,FW,21:59,Sunday,FINCH WEST FWLRT STATI,MXUS,12,24,W,6512
21,2025-12-07,FW,23:05,Sunday,HUMBER COLLEGE STOP,EXDO,0,0,E,6512
22,2025-12-08,FW,05:08,Monday,FINCH WEST STATION,PXWZ,14,0,E,6512
23,2025-12-08,FW,05:28,Monday,HUMBER COLLEGE STOP,TXNIP,6,0,E,6507
24,2025-12-08,FW,06:01,Monday,HUMBER COLLEGE STOP,MXO,0,0,,0
25,2025-12-08,FW,06:44,Monday,JANE FWLRT STOP,MXO,3,9,E,6503
26,2025-12-08,FW,06:46,Monday,JANE FWLRT STOP,TXOVS,0,0,W,6507
27,2025-12-08,FW,06:55,Monday,MARTIN GROVE STOP,TXO,4,10,E,6517
28,2025-12-08,FW,08:10,Monday,HUMBER COLLEGE STOP,TXNIP,6,12,E,6511
29,2025-12-08,FW,09:41,Monday,HUMBER COLLEGE STOP,MXTO,5,0,E,6508
30,2025-12-08,FW,12:56,Monday,ROWNTREE MILLS STOP,TXOS,4,14,E,6509
31,2025-12-08,FW,13:11,Monday,HUMBER COLLEGE STOP,EXDO,10,10,W,6517
32,2025-12-08,FW,13:20,Monday,HUMBER COLLEGE STOP,MXTO,4,10,W,6501
33,2025-12-08,FW,15:01,Monday,JANE FWLRT STOP,TXO,4,14,E,6503
34,2025-12-08,FW,15:42,Monday,SENTINEL STOP,EXAC,6,12,E,6517
35,2025-12-08,FW,16:41,Monday,FINCH WEST FWLRT STATI,EXAC,6,12,,6512
36,2025-12-08,FW,17:30,Monday,ALBION STOP,PXSTP,3,9,N,6511
37,2025-12-08,FW,21:19,Monday,DRIFTWOOD STOP,EXBK,9,23,E,6503
38,2025-12-08,FW,22:33,Monday,ENTERING MSF,EXO,0,0,W,6507
39,2025-12-09,FW,05:06,Tuesday,NORFINCH OAKDALE STOP,EXO,0,0,W,6501
40,2025-12-09,FW,07:16,Tuesday,NORFINCH OAKDALE STOP,EXO,0,0,W,6507
41,2025-12-09,FW,07:42,Tuesday,SIGNET ARROW STOP,EXO,0,0,W,6514
42,2025-12-09,FW,08:33,Tuesday,WESTMORE STOP,EXO,0,0,W,6508
43,2025-12-09,FW,08:56,Tuesday,MILVAN RUMIKE STOP,EXO,0,0,E,6514
44,2025-12-09,FW,09:01,Tuesday,SIGNET ARROW STOP,EXO,0,0,W,6503
45,2025-12-09,FW,09:12,Tuesday,HUMBER COLLEGE STOP,EXDO,6,12,E,6516
46,2025-12-09,FW,13:05,Tuesday,JANE FWLRT STOP,TXO,3,9,W,6503
47,2025-12-09,FW,13:34,Tuesday,TOBERMORY STOP,TXOVS,0,0,W,6509
48,2025-12-09,FW,15:16,Tuesday,HUMBER COLLEGE STOP,PXSW,92,98,,0
49,2025-12-09,FW,15:30,Tuesday,MARTIN GROVE STOP,PXSW,45,51,W,6515
50,2025-12-09,FW,20:04,Tuesday,FINCH WEST FWLRT STATI,SXO,0,0,,0
51,2025-12-09,FW,21:48,Tuesday,DRIFTWOOD STOP,TXO,10,20,W,6515
52,2025-12-09,FW,22:23,Tuesday,ISLINGTON,EXO,32,42,E,6513
53,2025-12-09,FW,23:00,Tuesday,HUMBER COLLEGE STOP TO,MXST,0,0,,6516
